feature,category,horizon_days,sample_count,coverage_start,coverage_end,rank_ic,high_avg_return,low_avg_return,spread,best_side,edge,high_hit_up,low_hit_up
open_interest_z_30d,Derivatives,7,164,2025-09-22,2026-03-11,-0.2175043869791739,-0.02559057235325636,0.007088729468171938,-0.0326793018214283,low,0.0326793018214283,0.45454545454545453,0.6363636363636364
range_compression_20d,Liquidity,7,3707,2016-01-10,2026-03-11,0.054786029702082746,0.02214628074807151,0.010131832703144964,0.012014448044926544,high,0.012014448044926544,0.5956873315363881,0.5161725067385444
fear_greed_value,Attention,7,2954,2018-02-01,2026-03-11,0.041861139987914305,0.021386406139512336,0.010142640702864705,0.01124376543664763,high,0.01124376543664763,0.55,0.5618729096989966
unique_addresses_z_30d,On-chain,7,3707,2016-01-10,2026-03-11,0.011868513016687662,0.0198209876305451,0.01001390010694717,0.00980708752359793,high,0.00980708752359793,0.5592991913746631,0.522911051212938
perp_premium_daily,Derivatives,7,2256,2019-12-31,2026-03-11,0.023881120569180608,0.013347819265686598,0.003641090245114992,0.009706729020571606,high,0.009706729020571606,0.5353982300884956,0.5420353982300885
context_score_v2,Bundle,7,3707,2016-01-10,2026-03-11,0.01729571014969136,0.019571739885704254,0.010489305221423727,0.009082434664280527,high,0.009082434664280527,0.5440705128205128,0.542765787370104
wiki_views_z_30d,Attention,7,3705,2016-01-12,2026-03-11,0.0007261567292518908,0.01886815660181888,0.010191365174509266,0.008676791427309614,high,0.008676791427309614,0.5465587044534413,0.5357624831309041
tx_count_z_30d,On-chain,7,3707,2016-01-10,2026-03-11,0.001567071477746905,0.019902038355219198,0.011383205410070103,0.008518832945149095,high,0.008518832945149095,0.5633423180592992,0.5350404312668463
amihud_z_90d,Liquidity,7,3677,2016-02-09,2026-03-11,0.008501673575093667,0.01469914087395708,0.0074353050114021385,0.007263835862554941,high,0.007263835862554941,0.5584239130434783,0.49592391304347827
onchain_activity_z_30d,On-chain,7,3707,2016-01-10,2026-03-11,0.003922026191810281,0.01667439513373166,0.011283756345556088,0.005390638788175571,high,0.005390638788175571,0.5512129380053908,0.522911051212938
perp_premium_z_30d,Derivatives,7,2247,2020-01-09,2026-03-11,-0.015789592405312417,0.0066638879160931435,0.009988681975482482,-0.0033247940593893388,low,0.0033247940593893388,0.5177777777777778,0.5466666666666666
funding_rate_z_30d,Derivatives,7,76,2025-12-19,2026-03-11,0.020232399179767616,-0.02204584714555379,-0.019467970238445133,-0.002577876907108659,low,0.002577876907108659,0.25,0.375
open_interest_z_30d,Derivatives,20,151,2025-09-22,2026-03-11,-0.3059463227605436,-0.0947880519623213,-0.023719188693085688,-0.07106886326923562,low,0.07106886326923562,0.12903225806451613,0.25806451612903225
funding_rate_z_30d,Derivatives,20,63,2025-12-19,2026-03-11,0.22071812596006143,-0.060578817685882795,-0.1246526911457225,0.0640738734598397,high,0.0640738734598397,0.5384615384615384,0.07692307692307693
fear_greed_value,Attention,20,2941,2018-02-01,2026-03-11,0.05436055594692573,0.05692241744108904,0.027871680722369067,0.029050736718719977,high,0.029050736718719977,0.5375,0.5606299212598426
context_score_v2,Bundle,20,3694,2016-01-10,2026-03-11,0.04352592903131059,0.05636994064887428,0.027668190593911575,0.028701750054962706,high,0.028701750054962706,0.5865384615384616,0.5605815831987075
perp_premium_daily,Derivatives,20,2243,2019-12-31,2026-03-11,0.026357264309123784,0.0333563539875341,0.008686180979495063,0.02467017300803904,high,0.02467017300803904,0.532293986636971,0.48775055679287305
unique_addresses_z_30d,On-chain,20,3694,2016-01-10,2026-03-11,0.031619668511796796,0.05863394199132575,0.03461675043291004,0.02401719155841571,high,0.02401719155841571,0.6021650879566982,0.543978349120433
wiki_views_z_30d,Attention,20,3692,2016-01-12,2026-03-11,0.019221312149449565,0.0439840400675926,0.0259249743546688,0.0180590657129238,high,0.0180590657129238,0.5818673883626523,0.543978349120433
range_compression_20d,Liquidity,20,3694,2016-01-10,2026-03-11,0.03449864313809619,0.051067311396820816,0.03568661436600854,0.015380697030812275,high,0.015380697030812275,0.591339648173207,0.5412719891745602
onchain_activity_z_30d,On-chain,20,3694,2016-01-10,2026-03-11,0.006585301051216461,0.04684215226438129,0.043986832130489206,0.0028553201338920864,high,0.0028553201338920864,0.5737483085250338,0.5669824086603519
amihud_z_90d,Liquidity,20,3664,2016-02-09,2026-03-11,0.019647682394842183,0.02565019498103075,0.022925561658593767,0.002724633322436984,high,0.002724633322436984,0.5497953615279673,0.4747612551159618
perp_premium_z_30d,Derivatives,20,2234,2020-01-09,2026-03-11,0.00083094967572661,0.025038548859690233,0.026339080454119593,-0.0013005315944293605,low,0.0013005315944293605,0.5190156599552572,0.5257270693512305
tx_count_z_30d,On-chain,20,3694,2016-01-10,2026-03-11,-0.013239167255423975,0.04478926153080745,0.04501878622833393,-0.0002295246975264828,low,0.0002295246975264828,0.5737483085250338,0.577807848443843
fear_greed_value,Attention,60,2901,2018-02-01,2026-03-11,0.12684617610321347,0.1779956126595734,0.025407270914061118,0.15258834174551228,high,0.15258834174551228,0.555366269165247,0.48519736842105265
context_score_v2,Bundle,60,3654,2016-01-10,2026-03-11,0.11436412514163917,0.1890318491949296,0.09323794576321241,0.09579390343171719,high,0.09579390343171719,0.6298076923076923,0.5236907730673317
unique_addresses_z_30d,On-chain,60,3654,2016-01-10,2026-03-11,0.0322278114359222,0.19220714707254977,0.13039186356240545,0.061815283510144314,high,0.061815283510144314,0.6621067031463749,0.5595075239398085
wiki_views_z_30d,Attention,60,3652,2016-01-12,2026-03-11,0.08631532089848928,0.1669316271004764,0.10625326896294497,0.06067835813753143,high,0.06067835813753143,0.627906976744186,0.5116279069767442
perp_premium_daily,Derivatives,60,2203,2019-12-31,2026-03-11,0.041888303757718424,0.12330211671773361,0.06299001317333315,0.06031210354440046,high,0.06031210354440046,0.5374149659863946,0.5374149659863946
open_interest_z_30d,Derivatives,60,111,2025-09-22,2026-03-11,-0.19936819936819938,-0.230460359718046,-0.18582631813697176,-0.04463404158107423,low,0.04463404158107423,0.043478260869565216,0.043478260869565216
amihud_z_90d,Liquidity,60,3624,2016-02-09,2026-03-11,-0.042261932767341026,0.07894397160095498,0.11248611369954549,-0.03354214209859051,low,0.03354214209859051,0.56,0.5517241379310345
onchain_activity_z_30d,On-chain,60,3654,2016-01-10,2026-03-11,0.01006806781641054,0.1788243326736233,0.14931405671768092,0.029510275955942383,high,0.029510275955942383,0.6456908344733242,0.5772913816689467
range_compression_20d,Liquidity,60,3654,2016-01-10,2026-03-11,0.029426341346614218,0.16877795577632249,0.15107858572053448,0.017699370055788005,high,0.017699370055788005,0.6347469220246238,0.5786593707250342
tx_count_z_30d,On-chain,60,3654,2016-01-10,2026-03-11,-0.007864983860762884,0.1665212251903125,0.15017900681048743,0.01634221837982508,high,0.01634221837982508,0.612859097127223,0.5868673050615595
perp_premium_z_30d,Derivatives,60,2194,2020-01-09,2026-03-11,-0.0031750936711447695,0.10232646554085906,0.0933426533222685,0.008983812218590556,high,0.008983812218590556,0.5489749430523918,0.5535307517084282
